varied_parameter,parameter_value,hidden_sizes,dropout_rate,lr,batch_size,optimizer,val_accuracy,train_loss,val_loss,train_acc,val_acc
batch_size,16,"[512, 256]",0.3,0.001,16,Adam,85.58,0.7782463390827179,0.5227503326897043,76.32666666666667,85.58
batch_size,32,"[512, 256]",0.3,0.001,32,Adam,88.88,0.4509506085867694,0.3911132075509448,86.23333333333333,88.88
batch_size,48,"[512, 256]",0.3,0.001,48,Adam,90.7,0.2716231531918049,0.3420093957157362,91.19,90.7
batch_size,64,"[512, 256]",0.3,0.001,64,Adam,90.56,0.2711414302558279,0.3459983825966527,91.47,90.56
batch_size,96,"[512, 256]",0.3,0.001,96,Adam,90.4,0.20670623715502767,0.3530107430129681,93.48333333333333,90.4
batch_size,128,"[512, 256]",0.3,0.001,128,Adam,89.28,0.24838088427452332,0.3784424390643835,92.13666666666667,89.28
batch_size,192,"[512, 256]",0.3,0.001,192,Adam,90.36,0.17428734661287562,0.40725008536268165,94.31666666666666,90.36
batch_size,256,"[512, 256]",0.3,0.001,256,Adam,87.98,0.17612269028263577,0.45806786566972735,94.28666666666666,87.98
batch_size,384,"[512, 256]",0.3,0.001,384,Adam,86.8,0.25205781244778935,0.47276692731039865,91.89,86.8
batch_size,512,"[512, 256]",0.3,0.001,512,Adam,85.52,0.20912730138180619,0.5312237083911896,93.22,85.52
