varied_parameter,parameter_value,hidden_sizes,dropout_rate,lr,batch_size,optimizer,val_accuracy,train_loss,val_loss,train_acc,val_acc
depth,[64],[64],0.3,0.001,64,Adam,69.22,1.01982279703307,0.9908435329606261,66.21,69.22
depth,[128],[128],0.3,0.001,64,Adam,73.46,0.8051841323817971,0.8709474711478511,73.14333333333333,73.46
depth,[256],[256],0.3,0.001,64,Adam,75.86,0.5977766413424315,0.7904915473883665,80.00333333333333,75.86
depth,[512],[512],0.3,0.001,64,Adam,78.4,0.5490666582131944,0.7301339473150954,82.05333333333333,78.4
depth,"[128, 64]","[128, 64]",0.3,0.001,64,Adam,82.34,0.7933439067813125,0.6049553593502769,75.51,82.34
depth,"[256, 128]","[256, 128]",0.3,0.001,64,Adam,88.88,0.43303845829165566,0.39380140017859544,86.86333333333333,88.88
depth,"[512, 256]","[512, 256]",0.3,0.001,64,Adam,89.34,0.33841916904457087,0.3838529779186732,89.49333333333334,89.34
depth,"[512, 256, 128]","[512, 256, 128]",0.3,0.001,64,Adam,90.92,0.2645361659242146,0.33365045601054083,91.97666666666667,90.92
depth,"[1024, 512, 256]","[1024, 512, 256]",0.3,0.001,64,Adam,92.5,0.1622950787634166,0.3073862749328719,94.77333333333333,92.5
depth,"[1024, 512, 256, 128]","[1024, 512, 256, 128]",0.3,0.001,64,Adam,91.2,0.27623838551644325,0.32587215370392497,91.71666666666667,91.2
depth,"[2048, 1024, 512, 256]","[2048, 1024, 512, 256]",0.3,0.001,64,Adam,92.18,0.2120153327136914,0.31059575113880483,93.40666666666667,92.18
