varied_parameter,parameter_value,hidden_sizes,dropout_rate,lr,batch_size,optimizer,val_accuracy,train_loss,val_loss,train_acc,val_acc
lr,1e-05,"[512, 256]",0.3,1e-05,64,Adam,66.86,1.2558373160707925,1.1768118980564648,63.24333333333333,66.86
lr,2e-05,"[512, 256]",0.3,2e-05,64,Adam,76.62,0.7524957628900817,0.8088028438483612,77.67666666666666,76.62
lr,5e-05,"[512, 256]",0.3,5e-05,64,Adam,80.98,0.36425472544962917,0.6488928406298915,88.62,80.98
lr,0.0001,"[512, 256]",0.3,0.0001,64,Adam,83.74,0.2575375972144893,0.5803691405284254,91.77,83.74
lr,0.0002,"[512, 256]",0.3,0.0002,64,Adam,86.42,0.2366832822227656,0.48897837706004516,92.26,86.42
lr,0.0005,"[512, 256]",0.3,0.0005,64,Adam,88.98,0.2953416249994784,0.4013333971364589,90.55666666666667,88.98
lr,0.001,"[512, 256]",0.3,0.001,64,Adam,89.82,0.2927689397497091,0.372107365840598,90.83333333333333,89.82
lr,0.002,"[512, 256]",0.3,0.002,64,Adam,90.88,0.26598996907345523,0.368408798039714,91.63333333333334,90.88
lr,0.005,"[512, 256]",0.3,0.005,64,Adam,90.2,0.35574554880735465,0.3994668721209598,88.94333333333333,90.2
lr,0.01,"[512, 256]",0.3,0.01,64,Adam,88.7,0.44263123191877213,0.4612331394153305,86.54666666666667,88.7
lr,0.02,"[512, 256]",0.3,0.02,64,Adam,86.66,0.5432652763085071,0.536015128221693,83.84333333333333,86.66
lr,0.05,"[512, 256]",0.3,0.05,64,Adam,76.64,1.26007083979751,37.2918615201606,63.17,76.64
